Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,PF,PA,PD,PC,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate
132,MIA,2018,2018-10-14,01:00:00 AM,01:00:00 AM,,CHI,6,6,Sun,W 31-28,OT,31,28,3,59,28,44,63.6,380,3,2,0,0,94.9
133,MIN,1982,1982-12-19,01:00:00 AM,01:00:00 AM,@,DET,15,7,Sun,W 34-31,,34,31,3,65,20,29,69,216,3,0,4,17,127.5
134,MIN,1994,1994-09-25,01:00:00 AM,12:00:00 PM,,MIA,4,4,Sun,W 38-35,,38,35,3,73,26,37,70.3,311,3,0,2,15,124.4
135,MIN,1995,1995-11-05,01:00:00 AM,12:00:00 PM,,GNB,10,9,Sun,W 27-24,,27,24,3,51,21,39,53.8,225,3,0,2,12,97.9
136,MIN,1999,1999-11-14,12:03:00 PM,12:03:00 PM,@,CHI,10,10,Sun,W 27-24,OT,27,24,3,51,25,44,56.8,349,3,1,3,25,98.1
137,MIN,2012,2012-12-30,04:25:00 AM,03:25:00 AM,,GNB,17,16,Sun,W 37-34,,37,34,3,71,16,28,57.1,227,3,0,1,7,120.2
138,MIN,2020,2020-12-06,01:00:00 AM,03:00:00 AM,,JAX,13,12,Sun,W 27-24,OT,27,24,3,51,28,43,65.1,275,3,1,4,30,99.5
139,NOR,1993,1993-09-12,01:00:00 AM,01:00:00 AM,@,ATL,2,2,Sun,W 34-31,,34,31,3,65,22,34,64.7,330,3,1,2,11,115
140,NOR,2001,2001-10-28,01:02:00 AM,12:02:00 PM,@,STL,7,6,Sun,W 34-31,,34,31,3,65,20,31,64.5,238,3,0,4,16,122.2
141,NOR,2004,2004-09-19,01:03:00 AM,12:03:00 PM,,SFO,2,2,Sun,W 30-27,,30,27,3,57,25,34,73.5,256,3,0,3,23,127
142,NOR,2006,2006-10-15,01:02:00 AM,12:02:00 PM,,PHI,6,6,Sun,W 27-24,,27,24,3,51,27,38,71.1,275,3,2,0,0,95.8
143,NOR,2009,2009-12-13,01:02:00 AM,01:02:00 AM,@,ATL,14,13,Sun,W 26-23,,26,23,3,49,31,41,75.6,296,3,0,0,0,119.6
144,NOR,2012,2012-12-23,01:02:00 AM,12:02:00 PM,@,DAL,16,15,Sun,W 34-31,OT,34,31,3,65,37,53,69.8,446,3,0,0,0,114.2
145,NOR,2019,2019-11-24,01:00:00 AM,12:00:00 PM,,CAR,12,11,Sun,W 34-31,,34,31,3,65,30,39,76.9,300,3,1,2,11,114.4
146,NWE,2002,2002-11-10,04:15:00 AM,03:15:00 AM,@,CHI,10,9,Sun,W 33-30,,33,30,3,63,36,55,65.5,315,3,1,2,13,92.1
147,NWE,2004,2004-09-09,09:08:00 AM,09:08:00 AM,,IND,1,1,Thu,W 27-24,,27,24,3,51,26,38,68.4,320,3,1,2,15,111.2
148,NWE,2005,2005-10-09,01:05:00 AM,01:05:00 AM,@,ATL,5,5,Sun,W 31-28,,31,28,3,59,22,27,81.5,342,3,1,1,8,140.4
149,NWE,2013,2013-11-24,08:30:00 AM,08:30:00 AM,,DEN,12,11,Sun,W 34-31,OT,34,31,3,65,34,50,68,324,3,0,3,20,107.4
150,NYG,1980,1980-11-09,01:00:00 AM,01:00:00 AM,,DAL,10,10,Sun,W 38-35,,38,35,3,73,18,33,54.5,345,3,1,1,6,109.5
151,NYG,2001,2001-11-04,01:04:00 AM,01:04:00 AM,,DAL,8,8,Sun,W 27-24,OT,27,24,3,51,24,34,70.6,265,3,2,4,15,100.1
152,NYG,2003,2003-09-21,04:05:00 AM,04:05:00 AM,@,WAS,3,3,Sun,W 24-21,OT,24,21,3,45,24,39,61.5,270,3,0,1,6,108.5
